"","Site","Ecoregion","Source","Family","Block","Tree","Condition","Height","Distance","ElevDist","eFFP","MSP","Slope","Aspect","Hardiness","DD.5.sp","Year"
"1887","SO","CSCO","CC","CC7","4","1","1","32","509.563109555359","-294.47171558","435","-61","738.084262369","33.3","20","964","12"
"1888","SO","PULO","CR","CR2","3","1","1","35","393.767177639009","-202.9783438","846","141","80.184262369","18.4","73","2059","12"
"1889","SO","PULO","BC","BC3","3","1","1","45","740.330530293661","-186.4741782","812","112","88.884262369","17.7","115","2525","12"
"1890","SO","PULO","PA","PA4","3","2","1","40","618.423019087969","-237.14330959","589","44","121.384262369","22.2","84","2476","12"
"1891","SO","SRNA","PL","PL4","3","1","1","28","476.318316794568","463.7992153","755","-4","307.284262369","23.6","38","1230","12"
"1892","SO","KLMT","KLa","KL6","3","1","1","24","66.4728719762569","603.031443","1467","55","145.884262369","12","87","2127","12"
"1893","SO","PULO","FB","FB3","3","1","1","45","662.855974152325","-304.482917618","402","81","101.484262369","29.3","73","2208","12"
"1894","SO","KLMT","CP","CP26","3","1","1","35","53.1167034526776","388.6523575","333","22","192.484262369","33.2","108","2205","12"
"1895","SO","CSCO","RV","RV3","3","1","4","46","365.335729180137","-38.3126984","716","-32","420.584262369","24.4","28","1099","12"
"1896","SO","PULO","BC","BC8","3","1","1","31","740.103133284453","-200.6630235","829","113","88.184262369","17.4","116","2540","12"
"1897","SO","CORA","LA","LA10","4","1","4","34","590.365419630457","341.3028825","727","-31","362.484262369","23.6","22","1085","12"
"1898","SO","WIVA","WV","WV6","3","1","1","42","317.843772615195","-225.49500344","801","103","103.084262369","19.8","65","1869","12"
"1899","SO","WIVA","VE","VE7","3","1","4","37","166.163328954154","-90.0013738","1225","70","122.784262369","14.1","68","1949","12"
"1900","SO","WIVA","WV","WV6","4","1","1","35","317.843772615195","-225.49500344","801","103","103.084262369","19.8","65","1869","12"
"1901","SO","CORA","GA","GA3","4","2","2","43","274.195572808128","-35.1828526","1251","3","229.584262369","15.1","35","1384","12"
"1902","SO","KLMT","CP","CP24","3","2","1","23","25.0387376664524","432.5141535","1183","55","146.084262369","14.6","76","1992","12"
"1903","SO","WIVA","VE","VE10","3","2","1","37","166.163328954154","-90.0013738","1225","70","122.784262369","14.1","68","1949","12"
"1904","SO","CSCD","DE","DE4","3","1","1","29","265.216511333043","492","1638","204","60.984262369","9.5","187","2931","12"
"1905","SO","PULO","CL","CL1","3","1","2","35","609.906733353137","-272.94072819","595","125","82.584262369","23.3","69","2116","12"
"1906","SO","PULO","BR","BR7","3","1","1","27","560.434259159091","-278.6519551","1013","101","98.384262369","16.2","68","2010","12"
"1907","SO","CORA","GA","GA3","3","2","4","34","274.195572808128","-35.1828526","1251","3","229.584262369","15.1","35","1384","12"
"1908","SO","CSCD","DE","DE5","3","3","1","35","265.13834227676","458.8925058","1639","204","61.284262369","9.6","186","2916","12"
