Site,Ecoregion,Source,Family,Block,Tree,Condition,Height,Distance,ElevDist,eFFP,MSP,Slope,Aspect,Hardiness,DD.5.sp,Year
SF,CORA,LC,LC1,3,3,1,98,402.4534759,242.3547048,1011,-12,89.50419248,14.7,92,2680,14
SF,CORA,LC,LC1,3,4,1,25,402.4534759,242.3547048,1011,-12,89.50419248,14.7,92,2680,14
SF,CORA,LC,LC1,3,5,2,70,402.4534759,242.3547048,1011,-12,89.50419248,14.7,92,2680,14
SF,CORA,LC,LC2,3,1,2,87,400.7506122,-176.1338424,1159,0,83.00419248,13.2,96,2732,14
SF,CORA,LC,LC2,3,2,2,99,400.7506122,-176.1338424,1159,0,83.00419248,13.2,96,2732,14
SF,CORA,LC,LC2,3,3,1,46,400.7506122,-176.1338424,1159,0,83.00419248,13.2,96,2732,14
SF,CORA,LC,LC2,3,4,1,58,400.7506122,-176.1338424,1159,0,83.00419248,13.2,96,2732,14
SF,PULO,OH,OH1,3,1,2,90,431.9976866,-340.6521434,215,-48,110.7041925,37.8,73,2488,14
SF,PULO,OH,OH1,3,2,1,106,431.9976866,-340.6521434,215,-48,110.7041925,37.8,73,2488,14
SF,PULO,OH,OH1,3,3,1,38,431.9976866,-340.6521434,215,-48,110.7041925,37.8,73,2488,14
SF,PULO,OH,OH1,3,4,1,66,431.9976866,-340.6521434,215,-48,110.7041925,37.8,73,2488,14
SF,PULO,OH,OH1,3,5,2,27,431.9976866,-340.6521434,215,-48,110.7041925,37.8,73,2488,14
SF,CSCD,OK,OK1,3,1,1,85,125.2020082,569.426865,1019,80,67.70419248,14.8,118,2697,14
SF,CSCD,OK,OK1,3,2,1,114,125.2020082,569.426865,1019,80,67.70419248,14.8,118,2697,14
SF,CSCD,OK,OK1,3,3,1,77,125.2020082,569.426865,1019,80,67.70419248,14.8,118,2697,14
SF,CSCD,OK,OK1,3,4,2,84,125.2020082,569.426865,1019,80,67.70419248,14.8,118,2697,14
SF,CSCD,OK,OK1,3,5,2,58,125.2020082,569.426865,1019,80,67.70419248,14.8,118,2697,14
SF,PULO,OL,OL1,3,1,1,63,291.9889544,-353.8062969,947,4,92.70419248,16.5,79,2306,14
SF,PULO,OL,OL1,3,2,1,68,291.9889544,-353.8062969,947,4,92.70419248,16.5,79,2306,14
SF,PULO,OL,OL1,3,3,1,42,291.9889544,-353.8062969,947,4,92.70419248,16.5,79,2306,14
SF,PULO,OL,OL1,3,4,1,76,291.9889544,-353.8062969,947,4,92.70419248,16.5,79,2306,14
SF,PULO,OL,OL1,3,5,1,47,291.9889544,-353.8062969,947,4,92.70419248,16.5,79,2306,14
SF,WIVA,OR,OR1,3,1,1,34,114.5729161,-180.5615504,908,-20,108.1041925,17,85,2313,14
SF,WIVA,OR,OR1,3,2,1,52,114.5729161,-180.5615504,908,-20,108.1041925,17,85,2313,14
SF,WIVA,OR,OR1,3,3,1,70,114.5729161,-180.5615504,908,-20,108.1041925,17,85,2313,14
SF,WIVA,OR,OR1,3,4,2,46,114.5729161,-180.5615504,908,-20,108.1041925,17,85,2313,14
SF,WIVA,OR,OR1,3,5,1,73,114.5729161,-180.5615504,908,-20,108.1041925,17,85,2313,14
SF,PULO,PA,PA1,3,1,1,60,404.7598304,-259.560531,605,-58,116.9041925,21.1,90,2698,14
SF,PULO,PA,PA1,3,4,1,133,404.7598304,-259.560531,605,-58,116.9041925,21.1,90,2698,14
SF,PULO,PA,PA1,3,5,2,106,404.7598304,-259.560531,605,-58,116.9041925,21.1,90,2698,14
SF,PULO,PA,PA3,3,1,1,27,406.0194658,-310.9590595,534,-67,125.2041925,23.2,80,2612,14
SF,PULO,PA,PA3,3,2,1,30,406.0194658,-310.9590595,534,-67,125.2041925,23.2,80,2612,14
SF,PULO,PA,PA3,3,3,1,93,406.0194658,-310.9590595,534,-67,125.2041925,23.2,80,2612,14
SF,PULO,PA,PA3,3,4,1,121,406.0194658,-310.9590595,534,-67,125.2041925,23.2,80,2612,14
SF,PULO,PA,PA3,3,5,2,107,406.0194658,-310.9590595,534,-67,125.2041925,23.2,80,2612,14
SF,PULO,PA,PA4,3,1,1,81,405.4296739,-288.70486,569,-63,121.3041925,22.2,84,2650,14
